"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
103406,69698,1924,22474,1759,4215,1774,4113,1564,2472,1770,10258,1689,8681,16378,1426,3860,1179,1179,1582,1308,1179,1179,1297,1179,1179,1179,1179,1621,1179,1396,1179,1185,1582,1180,3663
80850,54962,1958,16259,1750,8432,1642,2769,1623,1939,1835,8110,1747,11463,17908,1392,2731,1179,1180,1179,1359,1179,1179,1333,1179,1179,1179,1179,1179,1179,1179,1179,1960,1690,1180,3664
91974,51857,2569,2369,3218,2792,2466,1747,2817,1899,1398,5936,1335,3693,5348,1313,1584,1179,1179,1398,1179,1179,1179,1179,1179,1179,1179,1447,1179,1179,1179,1464,1207,1470,1179,3665
89781,56068,1989,5327,2010,2504,1587,4641,2003,2104,1494,4115,1564,3373,11381,1311,3234,1179,1179,1179,1235,1422,1179,1211,1179,1489,1179,1457,1421,1179,1822,1179,1179,1450,1180,3666
78044,69140,1334,9085,2284,3329,2183,2082,1267,2655,1537,10206,1630,9484,5546,1399,2735,1179,1179,1544,1296,1528,1179,1276,1179,1179,1179,1179,1179,1179,1179,1179,1179,1524,1179,3667
95405,53214,1429,5872,2119,3778,2008,2315,2167,2266,1319,13096,1269,9801,8108,1319,906,1179,1180,1179,1562,1179,1179,1179,1179,1179,1179,1179,2285,1179,1179,1184,1646,2269,1179,3668
95604,50141,9710,9575,1677,5471,2004,2048,1177,1761,1401,6604,1154,6852,4847,1388,2069,1179,1179,1577,1336,1179,1179,1179,1179,1179,1179,1625,1712,1179,1179,1179,1179,1669,1180,3669
91533,64786,1637,5335,3300,7415,3068,1524,1775,3090,1734,17895,1874,11995,6815,1376,3425,1179,1179,1179,1297,1179,1179,1268,1179,1179,1179,1179,1674,1179,1885,1507,1179,1556,1179,3670
106758,53702,2066,9325,1308,2675,1662,3219,1939,2419,1483,7247,1556,4319,13473,1358,1588,1179,1179,1431,1301,1581,1179,1179,1179,1179,1179,1513,1200,1625,1179,1179,1179,1538,1180,3671
86748,61968,1913,19659,1404,5127,1643,2213,1630,2243,1323,6701,1226,7108,10208,1323,1297,1179,1179,1715,1383,1179,1179,1389,1179,1179,1179,1179,1938,1827,1180,1180,1199,1860,1179,3672
68946,36787,7352,4527,1300,7794,1597,1663,1644,1453,1388,10239,2693,8847,3929,1273,1665,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1179,3673
93754,51410,1581,28627,1339,4170,2050,1844,1190,2460,1458,7112,1866,6673,8084,1332,2665,1179,1179,1179,1295,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1507,1480,1499,1179,3674
104580,50555,1675,3034,1199,8694,2126,1741,1036,2048,1510,11480,1547,11677,3787,1288,3388,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1794,1179,1179,1179,1424,1179,1179,3675
