"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
94884,65883,1483,5148,2391,8608,1427,1922,1436,5155,1512,11882,1438,10242,3277,1341,2675,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1912,1756,2078,1179,1180,1179,1179,1994
108003,65877,1451,7085,8233,5867,1902,1858,1173,2684,1550,18476,1410,6839,5593,1375,3783,1181,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2146,1179,1179,1179,1842,1179,1179,1995
93402,65931,1889,3787,3433,12668,1364,2315,1123,2789,1466,15281,1465,11953,13169,1469,5515,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,2406,1179,1996
88157,53700,1622,4241,2772,8999,1947,1514,1072,1643,1495,13994,1332,10328,6748,1313,4074,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1183,1180,1179,1179,1182,2449,1179,1997
83401,50722,1429,3550,2601,8632,1128,1759,1183,1466,1404,12021,1445,7916,5693,1358,2070,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1183,1179,2340,1179,1179,1179,1179,1998
100475,67327,1585,4627,2807,11057,1280,1755,2858,2644,1557,16514,1367,11710,7429,1454,3588,1179,1180,2070,1179,1179,1179,1179,1179,1179,1179,1179,1886,1674,2077,1179,1300,2080,1180,1999
86896,59598,1282,5319,3028,4480,1722,1869,1107,2488,1338,13977,996,6394,13345,1321,1975,1180,1180,1179,1179,1179,1584,1179,1179,1179,1179,1179,1544,1179,1179,1179,1179,1720,1179,2000
81846,56972,1386,3973,3102,5443,1233,1653,1105,2263,1327,10698,1614,7143,3358,1348,3565,1179,1179,1179,1181,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2360,1179,2001
97957,70548,1354,4092,2787,4671,1494,2535,1052,2689,1632,11896,1065,6082,8345,1403,5499,1179,1179,1179,1179,1180,1179,1179,1179,1179,1179,1179,1182,1179,1899,1179,1611,1560,1179,2002
95574,58607,1420,5488,4282,7995,1364,1584,2721,3972,1559,14107,1502,7772,7787,1370,3787,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,2504,1180,1180,1179,1179,1179,1179,2003
93439,76010,1742,4836,3455,4373,1164,1033,1105,3154,1710,15678,1414,6450,5868,1349,3257,1179,1292,1179,1179,1179,1179,1694,1179,1179,1179,1179,2105,1180,1180,1179,1179,2443,1179,2004
93135,48898,12879,1632,1312,2727,2690,1626,5629,1537,1654,2164,1489,4095,4273,3924,4147,1179,1181,1179,1179,1179,1179,1179,1179,1179,1179,1180,1180,1179,1180,1179,1859,1182,1179,2005
96909,62797,1256,7667,5542,5912,1317,1206,2129,1906,1418,13355,1210,9718,3216,1404,2137,1179,2280,1179,1179,1179,1179,1179,1179,1179,1179,1179,2156,1179,2622,1179,1179,2523,1179,2006
86736,52927,1472,4902,3159,6055,1354,1652,2142,2402,1375,10314,1601,7091,4080,1484,3633,1179,1180,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1641,2013,1179,2007
88255,78380,1448,4112,2503,9236,1398,1256,1848,3550,1506,13755,1367,8568,4204,1364,4126,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2849,1179,1181,1179,1179,1179,1180,2008
92672,53614,1340,7404,3870,3983,1224,1470,2519,3063,1467,14273,1401,5459,11708,1438,3687,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1181,2313,1179,2009
103525,74962,1848,4584,1957,6733,1330,1152,1071,3589,1472,17734,1264,10432,14248,1450,6493,1179,1180,1179,1179,1179,1179,1437,1179,1179,1179,1180,1787,1719,1852,1180,1179,1524,1179,2010
97304,50023,1587,3985,2899,2932,1128,1417,2330,5397,1484,13692,1308,8154,5367,1340,2716,1179,1996,1179,1180,1179,1179,1179,1179,1179,1179,1181,1184,1179,1180,1179,2287,1183,1179,2011
90370,50650,1209,3782,2617,5057,1058,1192,2372,3544,1299,13527,1514,6053,5631,1352,3620,1179,1234,1179,1179,1179,1180,1179,1179,1179,1179,1179,1317,1179,1181,1179,1180,1382,1179,2012
80987,48558,1335,6943,1530,3473,1198,1199,1197,1487,1262,11187,1554,5737,17520,1475,2610,1181,1182,1179,1180,1179,1179,1179,1179,1179,1179,1179,1180,1179,1180,1179,1181,1180,1179,2013
