"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
99437,46996,1715,1831,9317,7040,1967,1345,3602,2465,1806,9351,2491,8953,5172,1286,2548,1179,1179,1179,1179,1179,1179,1180,1179,1179,1179,1179,2694,1179,1179,1179,1225,1179,1179,3947
95930,65140,1924,13458,2322,3127,2504,2657,1453,2855,1796,7580,2121,4773,26610,1603,4507,1179,1179,1179,1422,1179,1179,1230,1179,1179,1179,1179,2478,1179,1179,1179,1179,2135,1180,3948
97444,77512,1753,17430,1524,4354,2671,2147,1621,2456,1683,3639,1792,5515,9460,1444,4043,1179,1179,1179,1286,1179,1179,1407,1179,1179,1179,1180,1665,1462,1180,1834,1180,1706,1180,3949
90435,40605,5581,5107,1989,5753,2589,1567,1433,1660,1475,7172,1897,6000,4919,1503,4309,1179,1179,1179,1202,1179,1179,1179,1179,1179,1179,1179,1204,1206,1179,1179,1179,1179,1179,3950
97393,47844,1499,4281,5093,5602,1706,3063,1571,2815,1906,8045,2722,7740,15935,1549,3271,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1796,1179,1179,2084,1179,1241,1179,1179,3951
93448,51766,1458,4372,2664,6589,1326,1126,1305,2297,1441,7038,1783,8974,4266,1337,4199,2482,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2549,1179,1179,1179,1179,1180,1179,3952
100386,52498,1397,4218,1358,10369,1318,1883,1681,2374,1700,8708,1368,11354,6237,1353,4413,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1181,1179,3953
91592,51391,1456,4472,1777,7335,1473,1512,3020,1336,1589,7376,1693,8260,4400,1421,3469,1179,1179,1179,1347,1179,1179,1179,1179,1179,1179,1179,1179,2325,1179,1179,1363,1179,1179,3954
98348,58973,1468,6523,1477,10143,1205,1225,1310,2908,1624,6889,1502,11713,6787,1384,3614,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2481,1179,1179,1179,1179,2215,1179,3955
100187,77644,1781,11301,1460,4792,2190,1581,1538,2300,1588,4675,1768,6495,9017,1420,4494,1179,1179,1179,1332,1179,1180,1179,1179,1179,1179,1995,2076,1179,1179,1179,1179,2107,1179,3956
100672,53104,1715,5287,2690,4327,2315,1409,1490,2705,1613,8075,1745,5060,3685,1328,5444,1179,1216,1179,1179,1179,1179,1726,1179,1179,1179,1179,1180,1179,1179,1179,1182,2280,1179,3957
91275,61246,1693,9470,3131,2381,2074,3358,1407,1888,1556,6091,1513,4286,12572,1552,2614,1179,1179,1179,1463,1179,1179,1400,1179,1179,1179,1179,1994,2122,1179,1179,1180,1862,1179,3958
99010,55945,1700,3774,1521,2747,3313,1259,1146,2088,1453,6079,1679,3427,10727,1507,6248,1179,1179,1792,1179,1179,1179,1179,1179,1179,1179,1179,1181,2013,1179,1179,1199,1838,1179,3959
96152,57885,1547,3528,3468,9308,3779,1876,1957,1616,1693,3538,1520,12739,4079,1448,3306,1179,1691,1179,1487,1179,1179,1179,1179,1179,1179,1179,1179,1179,2021,1179,1179,1179,1179,3960
82190,101150,2234,15796,2275,2931,2187,1883,1501,2377,1759,5819,1743,2974,6468,1445,4001,1179,1179,1179,1387,1179,1179,1232,1179,1179,1179,1690,1867,1838,1184,1179,1179,1762,1179,3961
99447,50788,1700,3973,2171,10500,1261,2054,852,4068,1614,13980,1365,11335,3036,1319,6092,1184,1179,1179,1179,1179,1180,1179,1179,1179,1179,1179,1180,1179,1180,1179,1179,2126,1179,3962
88129,64947,1415,3663,1895,5332,1339,1541,988,4185,1950,3733,1262,9316,4422,1307,7409,1179,1179,1179,1180,1179,1179,1179,1179,1179,1179,1181,1179,1769,1180,1179,1179,2099,1179,3963
100031,57690,1659,4282,2352,5385,1311,1005,2318,4209,1562,6703,1194,7753,8463,1458,5121,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1241,1179,1179,1179,1740,2241,1179,3964
89178,58456,1690,3267,2477,8112,1441,1281,1607,3521,1572,6545,1487,9121,14795,1427,4460,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,2031,1179,3965
