"FSC-A:FSC-A","SSC-A:SSC-A","CD45RA:CD45RA","CD154:CD154","CD25:CD25","TCRab:TCRab","CXCR3:CXCR3","HLA-DR:HLA-DR","CD137:CD137","CCR6:CCR6","AQUA-CD14-CD19:AQUA-CD14-CD19","CD4:CD4","CD38:CD38","CD3:CD3","CD69:CD69","CD8:CD8","CD127:CD127","FOXP3:FOXP3","GATA3:GATA3","GZMB:GZMB","IFNG:IFNG","IL13:IL13","IL17A:IL17A","IL2:IL2","IL21:IL21","IL4:IL4","IL5:IL5","PERF:PERF","RORC:RORC","RUNX1:RUNX1","RUNX3:RUNX3","TBET:TBET","TGFB:TGFB","TNF:TNF","if_cloned:if_cloned","cell_index:cell_index"
88964,57899,1804,11893,1322,3733,1718,3388,1157,1742,1270,8044,1129,4471,4247,1415,1942,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1899,2127,1179,2809
84200,41684,1836,16893,1301,3189,1646,4498,1024,2229,1394,6403,1298,3869,6879,1334,838,1179,1179,1179,1183,1179,1179,1179,1179,1179,1179,1179,1740,2081,1654,1179,1179,1179,1179,2810
84493,46942,4340,10098,754,3822,1557,2386,1062,1331,1368,5522,1181,3708,5198,1350,2148,1179,1179,1179,1181,1179,1179,1179,1179,1179,1179,1179,1179,1475,1778,1179,1604,1578,1179,2811
95987,61405,1959,13099,1323,5619,2130,2387,1224,1833,1619,7910,1695,4904,5864,1462,3258,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1762,1179,1179,1179,1798,1787,1179,2812
80942,44450,1196,7008,2921,4322,1166,1215,1446,1457,1288,9052,1698,5947,3885,1360,2971,1645,1252,1179,1179,1179,1587,1179,1179,1179,1179,1179,1179,1430,1179,1179,1179,1735,1179,2813
86109,67824,1522,4021,1511,4527,2165,2766,1212,2433,1416,10604,1737,4901,10776,1340,3292,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1994,2239,1179,2814
80418,58840,1604,8813,1457,3809,1696,3075,1557,1610,1226,6424,1379,4843,8146,1364,1972,1179,1179,1688,1179,1179,1179,1179,1179,1179,1179,1179,1598,1179,1179,1179,1655,1626,1179,2815
87337,51803,1504,23254,1629,4675,1608,2952,1260,1910,1559,6763,1680,6046,8437,1375,3047,1179,1180,1179,1179,1179,1586,1179,1179,1180,1179,1179,1516,1418,1817,1179,1179,1859,1179,2816
95014,68818,1718,6864,2688,8624,1416,1175,2135,1894,1326,14993,1496,8171,4633,1383,2196,1179,2492,1179,1179,1179,1179,1179,1179,1179,1179,1179,1179,1180,1179,1179,1180,2977,1179,2817
80021,40331,10269,4888,2436,9294,1270,1681,713,1382,1210,10020,2121,9199,3733,1263,2181,1179,1179,1179,1179,1179,1497,1179,1179,1179,1179,1179,1657,1179,2437,1179,1179,2160,1179,2818
75950,56930,1458,16725,795,2380,1537,3705,1173,1586,1392,4410,1262,2498,12414,1275,1011,1179,1179,1180,1209,1179,1179,1180,1179,1179,1179,1179,1179,1628,1179,1179,1905,1180,1179,2819
105135,57276,2231,3868,1117,3248,1497,2009,1206,1630,1278,6892,1164,3690,13410,1397,2150,1179,1179,1179,1294,1179,1179,1179,1179,1179,1179,1179,1179,1179,1781,1194,1179,1590,1179,2820
